ind,attr,val,expectation
338,2,FLOWERS HOSPITAL,0.645
25,10,3347938701,0.618
61,10,2565938310,0.645
229,10,2568453150,0.634
956,1,10049,0.645
591,6,VALLEY,0
80,6,FLORENCE,0
725,1,10035,0.63
873,12,Voluntary non-profit - Private,0.637
40,11,Acute Care Hospitals,0.617
702,7,AL,0.627
884,10,2059325966,0.634
409,1,10108,0.612
421,8,35150,0
390,13,Yes,0.624
640,1,10029,0.639
751,8,36420,0
25,13,Yes,0.609
562,10,3342938000,0.615
457,9,JEFFERSON,0.626
815,11,Acute Care Hospitals,0.646
545,8,36106,0
573,12,Voluntary non-profit - Other,0.61
274,1,10016,0.621
71,8,35631,0
347,9,HOUSTON,0.603
794,1,10039,0.618
533,11,Acute Care Hospitals,0.651
84,7,AL,0.626
522,13,Yes,0.604
197,8,35235,0
594,10,3348972257,0.632
785,12,Government - Hospital District or Authority,0.588
986,6,ONEONTA,0
11,6,SHEFFIELD,0
977,11,Acute Care Hospitals,0.627
944,9,BUTLER,0.625
386,2,UNIV OF SOUTH ALABAMA MEDICAL CENTER,0.633
756,1,10036,0.63
517,10,3342882100,0.603
279,7,AL,0.624
382,10,2514717110,0.622
969,6,ENTERPRISE,0
810,13,Yes,0.603
579,9,CHAMBERS,0.599
719,17,100%,0.631
368,6,WINFIELD,0
172,2,MARSHALL MEDICAL CENTER NORTH,0.626
825,10,2564944000,0.604
315,1,10038,0.598
385,2,UNIV OF SOUTH ALABAMA MEDICAL CENTER,0.619
491,11,Acute Care Hospitals,0.633
673,9,JEFFERSON,0.671
780,11,Acute Care Hospitals,0.627
208,6,BIRMINGHAM,0
773,6,ANNISTON,0
965,11,Acute Care Hospitals,0.609
17,11,Acute Care Hospitals,0.6
493,13,Yes,0.621
8,6,BIRMINGHAM,0
591,9,CHAMBERS,0.627
690,9,JEFFERSON,0.628
64,8,35957,0
533,2,BAPTIST MEDICAL CENTER SOUTH,0.628
333,8,36305,0
903,11,Acute Care Hospitals,0.638
923,7,AL,0.611
753,9,COVINGTON,0.64
219,12,Voluntary non-profit - Private,0.609
411,13,Yes,0.624
927,11,Acute Care Hospitals,0.623
528,9,MONTGOMERY,0.624
822,6,GADSDEN,0
503,9,CHEROKEE,0.648
326,8,36201,0
711,8,36078,0
573,10,3347561400,0.636
589,11,Acute Care Hospitals,0.622
319,13,Yes,0.614
248,10,3346366221,0.6
217,9,JEFFERSON,0.59
32,12,Government - Hospital District or Authority,0.605
472,10,3347742601,0.621
102,10,3344933541,0.627
628,1,10029,0.608
140,8,36049,0
233,8,35968,0
691,6,BIRMINGHAM,0
94,6,FLORENCE,0
934,1,10047,0.632
181,6,GUNTERSVILLE,0
778,2,HUNTSVILLE HOSPITAL,0.655
609,1,10027,0.608
816,8,35903,0
731,2,CULLMAN REGIONAL MEDICAL CENTER,0.612
696,11,Acute Care Hospitals,0.633
