ind,attr,val,expectation
567,HospitalOwner,Voluntary non-profit - Other,0.783
466,Address1,1300 SOUTH MONTGOMERY AVENUE,0.781
676,HospitalOwner,Government - State,0.78
914,Address2,Empty,0.78
862,Sample,18 patients,0.778
655,Score,67%,0.778
79,PhoneNumber,2567688400,0.778
505,HospitalOwner,Voluntary non-profit - Private,0.776
88,EmergencyService,Yes,0.776
759,PhoneNumber,3342228466,0.775
591,EmergencyService,Yes,0.775
963,Address1,400 N EDWARDS STREET,0.775
167,Address3,Empty,0.775
673,Address1,619 SOUTH 19TH STREET,0.774
129,Address2,Empty,0.772
136,EmergencyService,Yes,0.772
288,City,ALABASTER,0.772
199,CountyName,JEFFERSON,0.772
15,HospitalType,Acute Care Hospitals,0.772
930,CountyName,ETOWAH,0.771
583,Address3,Empty,0.771
467,HospitalOwner,Government - Hospital District or Authority,0.771
503,Condition,Pneumonia,0.771
396,Address2,Empty,0.771
343,PhoneNumber,xx479x5000,0.771
913,PhoneNumber,2565435200,0.771
459,State,AL,0.77
709,Address1,805 FRIENDSHIP ROAD,0.77
504,Address1,400 NORTHWOOD DR,0.77
622,ProviderNumber,10029,0.77
552,Address2,Empty,0.77
587,index,587,0.77
983,Address2,Empty,0.77
650,Sample,39 patients,0.77
515,Address3,Empty,0.769
557,Address3,Empty,0.769
904,City,GADSDEN,0.769
983,State,AL,0.769
402,HospitalType,Acute Care Hospitals,0.769
589,index,589,0.769
736,MeasureName,surgery patients who were given the  right kind  of antibiotic to help prevent infection,0.769
139,HospitalOwner,Government - Federal,0.769
490,Address2,Empty,0.768
994,HospitalType,Acute Care Hospitals,0.768
775,HospitalOwner,Government - Hospital District or Authority,0.768
873,PhoneNumber,2059216200,0.768
29,Address1,1108 ROSS CLARK CIRCLE,0.768
366,Address3,Empty,0.768
108,HospitalType,Acute Care Hospitals,0.768
274,EmergencyService,Yes,0.768
742,Address1,849 SOUTH THREE NOTCH STREET,0.768
510,Address3,Empty,0.768
185,Score,93%,0.768
689,Address2,Empty,0.767
964,Address2,Empty,0.767
127,EmergencyService,Yes,0.767
724,HospitalType,Acute Care Hospitals,0.767
822,MeasureName,surgery patients who were given the  right kind  of antibiotic to help prevent infection,0.767
217,CountyName,JEFFERSxN,0.767
186,CountyName,MARSHALL,0.767
10,Sample,13 patients,0.767
763,Address3,Empty,0.767
67,HospitalType,Acute Care Hospitals,0.767
292,HospitalType,Acute Care Hospitals,0.767
239,HospitalOwner,Voxuntary non-profit - Church,0.767
272,Address2,Empty,0.767
160,PhoneNumber,2567736511,0.767
629,City,OPELIKA,0.767
385,Address3,Empty,0.766
928,index,928,0.766
738,State,AL,0.766
550,Address1,1725 PINE STREET,0.766
620,index,620,0.766
796,index,796,0.766
442,Condition,Pneumonia,0.766
617,EmergencyService,Yes,0.766
792,EmergencyService,Yes,0.766
719,Address2,Empty,0.766
635,ProviderNumber,10029,0.766
62,Sample,14 patients,0.766
350,Score,98%,0.766
624,Address3,Empty,0.766
352,Score,100%,0.766
908,Address3,Empty,0.766
920,Address3,Empty,0.765
353,index,353,0.765
699,index,699,0.765
795,Address3,Empty,0.765
694,index,694,0.765
672,MeasureName,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,0.765
227,CountyName,DE KALB,0.765
455,State,AL,0.765
943,HospitalType,Acute Care Hospitals,0.765
521,EmergencyService,Yes,0.765
781,Address2,Empty,0.765
279,EmergencyService,Yes,0.765
239,MeasureName,surgery patients who were given the  right kind  of antibiotic to help prevent infection,0.765
206,MeasureName,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,0.765
926,CountyName,ETOWAH,0.765
802,index,802,0.765
328,HospitalOwner,Proprietary,0.765
66,PhoneNumber,2565x38310,0.765
911,CountyName,ETOWAH,0.764
644,Address1,209 NORTH MAIN STREET,0.764
328,Address1,301 EAST 18TH ST,0.764
32,Address1,1108 ROSS CLARK CIRCLE,0.764
555,Address3,Empty,0.764
923,EmergencyService,Yes,0.764
511,Address1,400 NORTHWOOD DR,0.764
342,HospitalType,Acute Care Hospitals,0.764
670,Sample,147 patients,0.764
643,HospitalOwner,Government - Local,0.764
57,index,57,0.764
487,Sample,48 patients,0.764
528,Score,94%,0.764
484,index,484,0.764
686,EmergencyService,Yes,0.764
915,CountyName,ETOWAH,0.764
505,PhoneNumber,2569275531,0.764
639,Address3,Empty,0.764
388,Address3,Empty,0.764
392,Sample,35 patients,0.764
18,Score,92%,0.764
766,Score,80%,0.764
409,index,409,0.763
821,Address2,Empty,0.763
891,Address1,1653 TEMPLE AVENUE NORTH,0.763
449,Condition,Surgical Infection Prevention,0.763
318,Address3,Empty,0.763
140,Score,100%,0.763
390,index,390,0.763
633,Condition,Pneumonia,0.763
185,EmergencyService,Yes,0.763
555,Sample,74 patxents,0.763
689,Address1,619 SOUTH 19TH STREET,0.763
915,Address2,Empty,0.763
142,EmergencyService,Yes,0.763
291,City,ALABASTER,0.763
843,Score,95%,0.763
628,CountyName,LEE,0.763
131,Address1,101 HOSPITAL CIRCLE,0.763
660,Sample,Empty,0.763
445,CountyName,ANCHORAGE,0.763
434,Sample,61 patients,0.763
737,Address3,Empty,0.763
622,City,OPELIKA,0.763
350,ZipCode,35205,0.763
852,Address1,1010 LAY DAM ROAD,0.763
120,City,LUVERNE,0.763
626,Address3,Empty,0.763
43,Address2,Empty,0.762
815,Address3,Empty,0.762
746,PhoneNumber,3342228466,0.762
212,PhoneNumber,2058383122,0.762
106,Condition,Pneumonia,0.762
713,HospitalOwner,Voluntary non-profit - Private,0.762
899,Address3,Empty,0.762
265,Address3,Empty,0.762
392,HospitalOwner,Government - State,0.762
35,Address2,Empty,0.762
133,PhoneNumber,3343353374,0.762
714,PhoneNumber,33x28365x1,0.762
264,index,264,0.762
713,CountyName,ELMORE,0.762
620,PhoneNumber,3347493411,0.762
807,index,807,0.762
10,index,10,0.762
186,Sample,101 patients,0.762
839,Address2,Empty,0.762
761,PhoneNumber,3342228466,0.762
151,Address1,201 PINE STREET NORTHWEST,0.762
768,Address2,Empty,0.762
987,Address3,Empty,0.762
61,PhoneNumber,2x6x938310,0.762
51,HospitalType,Acute Care Hospitals,0.762
40,PhoneNumber,3347938701,0.762
720,HospitalType,Acute Care Hospitals,0.762
419,Address2,Empty,0.762
144,Score,100%,0.762
258,index,258,0.762
825,State,AL,0.762
739,Address1,1912 ALABAMA HIGHWAY 157,0.762
