ind,attr,val,expectation
8876,12,Yes,0.78
3804,7,85016,0.777
4331,12,Yes,0.777
8829,3,CALIFORNIA HOSPITAL MEDICAL CENTER LA,0.776
1920,2,10125,0.775
7501,8,SAN MATEO,0.774
4265,11,Proprietary,0.774
837,16,75%,0.774
1844,12,Yes,0.773
5046,7,72143,0.773
8014,12,No,0.773
7819,16,99%,0.773
5169,12,Yes,0.773
6832,3,SUTTER AMADOR HOSPITAL,0.772
61,2,10005,0.772
4266,12,No,0.772
2330,4,201 WEST AVALON AVENUE,0.771
4265,12,No,0.771
2361,11,Proprietary,0.771
1997,3,NORTH BALDWIN INFIRMARY,0.771
4368,11,Voluntary non-profit - Private,0.771
5023,15,surgery patients who were given the  right kind  of antibiotic to help prevent infection,0.771
4770,7,86047,0.771
8191,12,Yes,0.77
3923,3,BANNER BAYWOOD MEDICAL CENTER,0.77
9920,5,FRESNO,0.77
8640,7,91778,0.77
3028,12,Yes,0.77
6774,5,NAPA,0.77
7007,10,Acute Care Hospitals,0.77
9329,7,94062,0.77
8513,3,VALLEY PRESBYTERIAN HOSPITAL,0.77
8165,4,3630 EAST IMPERIAL HIGHWAY,0.769
9960,5,LOS ANGELES,0.769
7751,3,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,0.769
5585,6,AR,0.768
2204,2,10148,0.768
5953,8,CRAIGHEAD,0.768
7336,6,CA,0.768
2784,12,No,0.768
3989,18,AZ_SCIP-VTE-1,0.768
1922,4,42024 HIGHWAY 195 E,0.768
2502,15,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor),0.768
9547,11,Voluntary non-profit - Private,0.768
7793,14,SCIP-INF-4,0.768
6641,6,AR,0.767
9072,12,Yes,0.767
9579,5,GARDEN GROVE,0.767
7483,4,1100 W STEWART DR,0.767
9906,13,Heart Attack,0.767
5455,11,Voluntary non-profit - Private,0.767
8362,7,91325,0.767
5614,10,Acute Care Hospitals,0.766
1570,9,2518678061,0.766
3389,17,83 patients,0.766
3660,3,MT GRAHAM REGIONAL MEDICAL CENTER,0.766
5894,9,5012571000,0.766
7761,5,SAN FRANCISCO,0.766
6969,16,100%,0.766
8788,16,97%,0.766
9227,11,Voluntary non-profit - Other,0.766
2949,3,TUCSON MEDICAL CENTER,0.765
1207,10,Acute Care Hospitals,0.765
