ind,attr,val,expectation
6919,4,531 W COLLEGE ST,0.787
966,16,100%,0.787
4770,5,WINSLOW,0.782
6745,11,Voluntary non-profit - Private,0.782
327,16,100%,0.781
5277,12,Yes,0.78
6841,17,132 patients,0.78
9578,8,ORANGE,0.778
8559,17,275 patients,0.778
9192,5,LONG BEACH,0.777
6601,5,LAKE VILLAGE,0.777
8797,9,9094275500,0.776
6832,4,200 MISSION BLVD,0.775
8862,6,CA,0.775
8278,6,CA,0.775
8784,11,Voluntary non-profit - Private,0.774
6444,15,Heart Attack Patients Given Aspirin at Arrival,0.773
3451,11,Proprietary,0.772
9257,3,WATSONVILLE COMMUNITY HOSPITAL,0.772
2459,4,215 PERRY HILL ROAD,0.772
2409,17,4 patients,0.772
9600,5,POMONA,0.771
126,4,101 HOSPITAL CIRCLE,0.771
2177,16,100%,0.771
9166,4,200 WEST ARBOR DRIVE,0.771
5152,10,Acute Care Hospitals,0.771
6924,15,Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma,0.771
8191,5,SANTA MARIA,0.77
8914,17,214 patients,0.77
2189,5,JACKSONVILLE,0.77
3683,9,9288558185,0.77
3428,12,No,0.77
1781,12,Yes,0.77
9968,6,CA,0.769
1725,9,2053678111,0.769
2502,12,No,0.769
7021,9,7078223621,0.768
8660,4,726 4TH ST,0.768
8741,5,LOS ANGELES,0.768
5419,16,99%,0.768
8835,2,50149,0.768
8174,16,93%,0.768
3300,15,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor),0.768
8735,17,62 patients,0.768
9117,10,Acute Care Hospitals,0.768
4129,16,96%,0.768
4551,11,Government Federal,0.768
6019,11,Proprietary,0.768
5145,8,CRAWFORD,0.767
6082,16,97%,0.767
1922,12,Yes,0.767
4324,8,MOHAVE,0.767
2942,16,100%,0.767
1711,4,1720 UNIVERSITY BLVD,0.767
1092,9,2059397000,0.767
1723,3,PRATTVILLE BAPTIST HOSPITAL,0.767
9727,12,Yes,0.766
5824,16,99%,0.766
8650,11,Voluntary non-profit - Other,0.766
9510,10,Acute Care Hospitals,0.766
7021,10,Acute Care Hospitals,0.766
9440,6,CA,0.766
6642,4,2215 WILDWOOD AVENUE,0.766
7529,4,700 LAWRENCE EXPRESSWAY,0.766
6549,3,DELTA MEMORIAL HOSPITAL,0.766
9806,10,Acute Care Hospitals,0.766
4562,8,YAVAPAI,0.766
9461,7,91911,0.766
8307,11,Government - Hospital District or Authority,0.765
7434,13,Pneumonia,0.765
2189,7,36265,0.765
7883,11,Voluntary non-profit - Church,0.765
6499,12,Yes,0.765
