ind,attr,val,expectation
9399,10,Acute Care Hospitals,0.786
8393,10,Acute Care Hospitals,0.785
7699,12,No,0.778
1260,12,No,0.773
4960,12,Yes,0.772
9642,12,Yes,0.771
4697,17,0 patients,0.771
5727,11,Proprietary,0.77
9292,11,Government - Hospital District or Authority,0.77
1049,12,Yes,0.77
1732,12,Yes,0.77
8869,12,Yes,0.769
6557,11,Voluntary non-profit - Private,0.769
3582,13,Surgical Infection Prevention,0.769
6589,13,Surgical Infection Prevention,0.769
9190,12,Yes,0.769
4825,12,No,0.768
5046,6,AR,0.768
6706,11,Voluntary non-profit - Church,0.768
2732,16,100%,0.768
4266,17,0 patients,0.768
1396,12,Yes,0.767
8110,10,Acute Care Hospitals,0.767
3712,8,APACHE,0.767
662,10,Acute Care Hospitals,0.767
9216,10,Acute Care Hospitals,0.767
4587,13,Pneumonia,0.766
6366,10,Critical Access Hospitals,0.766
5510,10,Acute Care Hospitals,0.765
6557,12,Yes,0.765
4640,10,Critical Access Hospitals,0.765
1787,11,Government - Hospital District or Authority,0.765
6333,12,Yes,0.765
6262,10,Critical Access Hospitals,0.765
3387,11,Voluntary non-profit - Other,0.765
8118,6,CA,0.765
7751,11,Government - Hospital District or Authority,0.765
6876,6,CA,0.765
2989,10,Acute Care Hospitals,0.764
3734,10,Acute Care Hospitals,0.764
2905,11,Proprietary,0.764
9727,11,Voluntary non-profit - Church,0.764
5053,6,AR,0.764
8307,15,Heart Attack Patients Given Aspirin at Discharge,0.764
5127,6,AR,0.764
7838,13,Pneumonia,0.763
2784,11,Voluntary non-profit - Other,0.763
1235,11,Government - Federal,0.763
8493,12,Yes,0.763
6392,12,Yes,0.763
7165,12,Yes,0.763
4866,11,Voluntary non-profit - Private,0.763
7007,12,Yes,0.763
2394,12,Yes,0.763
2023,12,Yes,0.763
2252,16,100%,0.763
8270,6,CA,0.763
9522,16,100%,0.762
3919,16,100%,0.762
7602,6,CA,0.762
5981,6,AR,0.762
1182,11,Government - Hospital District or Authority,0.762
954,11,Voluntary non-profit - Private,0.762
9610,11,Voluntary non-profit - Other,0.762
3850,6,AZ,0.762
977,11,Proprietary,0.762
3139,10,Acute Care Hospitals,0.761
5277,10,Acute Care Hospitals,0.761
5308,12,Yes,0.761
9502,10,Acute Care Hospitals,0.761
3028,12,Yes,0.761
9256,17,0 patients,0.761
6832,10,Acute Care Hospitals,0.761
9955,6,CA,0.761
3726,11,Voluntary non-profit - Other,0.761
9453,12,Yes,0.761
2075,10,Acute Care Hospitals,0.761
3839,12,Yes,0.761
5554,13,Surgical Infection Prevention,0.761
8676,16,100%,0.761
5946,11,Proprietary,0.761
4478,6,AZ,0.761
4331,6,AZ,0.761
399,10,Acute Care Hospitals,0.761
5065,12,Yes,0.76
1513,10,Acute Care Hospitals,0.76
2177,12,Yes,0.76
