ind,attr,val,expectation
2817,10,Critical Access Hospitals,0.783
1927,15,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),0.776
1711,10,Acute Care Hospitals,0.774
3850,12,Yes,0.774
6393,11,Voluntary non-profit - Church,0.772
9329,11,Voluntary non-profit - Private,0.771
5335,5,PARAGOULD,0.771
5756,12,No,0.77
7243,11,Proprietary,0.769
9019,6,CA,0.768
303,11,Voluntary non-profit - Private,0.768
8270,11,Proprietary,0.768
1493,10,Acute Care Hospitals,0.768
399,10,Acute Care Hospitals,0.767
4138,6,AZ,0.767
4102,12,Yes,0.767
5851,12,Yes,0.767
8254,10,Acute Care Hospitals,0.767
9225,12,Yes,0.767
8640,17,0 patients,0.767
6642,5,BERRYVILLE,0.767
9969,5,LOS ANGELES,0.766
8356,6,CA,0.766
8604,11,Voluntary non-profit - Church,0.766
3444,6,AZ,0.765
4751,11,Proprietary,0.765
4331,10,Acute Care Hospitals,0.765
5558,12,Yes,0.765
4129,13,Heart Failure,0.764
6841,13,Surgical Infection Prevention,0.764
7555,10,Acute Care Hospitals,0.764
7126,5,CHICO,0.764
9906,5,FRESNO,0.763
7595,12,Yes,0.763
8630,13,Surgical Infection Prevention,0.763
6790,5,NAPA,0.763
3494,11,Government - Hospital District or Authority,0.763
8797,16,100%,0.763
9916,11,Government Federal,0.763
6924,11,Government - Local,0.763
1738,12,Yes,0.763
7126,6,CA,0.763
6316,16,100%,0.762
2335,11,Government - Hospital District or Authority,0.762
9498,12,Yes,0.762
2815,13,Surgical Infection Prevention,0.762
3451,11,Proprietary,0.762
7051,11,Voluntary non-profit - Private,0.762
3522,13,Pneumonia,0.762
2335,10,Acute Care Hospitals,0.762
6835,10,Acute Care Hospitals,0.762
5169,6,AR,0.761
8955,6,CA,0.761
502,10,Acute Care Hospitals,0.761
4567,12,No,0.761
6476,10,Critical Access Hospitals,0.761
8890,5,SAN FRANCISCO,0.761
2624,13,Pneumonia,0.761
5744,11,Government - Local,0.761
2269,11,Government Federal,0.761
3573,16,100%,0.761
2580,10,Childrens,0.761
2418,13,Pneumonia,0.761
911,11,Proprietary,0.761
2980,10,Acute Care Hospitals,0.761
3772,11,Government - Federal,0.761
4951,6,AR,0.761
3917,6,AZ,0.761
9632,12,Yes,0.761
686,10,Acute Care Hospitals,0.761
6307,5,NASHVILLE,0.761
6295,12,Yes,0.76
4274,10,Acute Care Hospitals,0.76
4035,12,Yes,0.76
2765,12,Yes,0.76
1276,11,Voluntary non-profit - Other,0.76
3707,12,Yes,0.76
4876,5,PHOENIX,0.76
7789,12,Yes,0.76
5555,12,Yes,0.76
7751,10,Acute Care Hospitals,0.76
8686,5,PETALUMA,0.76
3856,10,Acute Care Hospitals,0.76
9632,10,Acute Care Hospitals,0.76
7555,12,Yes,0.76
7644,6,CA,0.76
7335,10,Acute Care Hospitals,0.76
8797,10,Acute Care Hospitals,0.76
831,11,Voluntary non-profit - Private,0.76
691,11,Government - State,0.76
4919,12,Yes,0.759
5160,12,Yes,0.759
6360,8,ARKANSAS,0.759
