ind,attr,val,expectation
6845,6,CA,0.781
9621,11,Voluntary non-profit - Other,0.78
5185,12,Yes,0.777
9267,11,Proprietary,0.776
5311,5,NORTH LITTLE ROCK,0.775
1260,17,1 patients,0.775
8829,10,Acute Care Hospitals,0.773
4659,16,100%,0.773
4324,9,9287882273,0.772
5638,12,Yes,0.772
5722,13,Pneumonia,0.77
7838,6,CA,0.769
1005,12,Yes,0.769
9448,10,Acute Care Hospitals,0.769
5789,5,HELENA,0.768
6770,11,Voluntary non-profit - Other,0.768
4838,13,Pneumonia,0.768
5671,6,AR,0.768
9421,11,Voluntary non-profit - Private,0.768
6002,13,Surgical Infection Prevention,0.767
6924,12,Yes,0.767
3913,12,Yes,0.767
3647,11,Government - Hospital District or Authority,0.767
172,11,Government - Hospital District or Authority,0.767
3923,11,Government - Hospital District or Authority,0.766
3419,5,CHANDLER,0.766
9225,12,Yes,0.766
5419,10,Acute Care Hospitals,0.766
5579,5,BLYTHEVILLE,0.766
4324,13,Heart Attack,0.765
8962,10,Acute Care Hospitals,0.765
5277,6,AR,0.765
5185,10,Acute Care Hospitals,0.765
3512,12,Yes,0.765
6969,6,CA,0.764
5851,13,Pneumonia,0.764
2008,12,Yes,0.764
9036,13,Pneumonia,0.764
3712,13,Surgical Infection Prevention,0.764
9376,13,Heart Attack,0.764
8862,6,CA,0.764
9916,5,FRESNO,0.764
7134,12,Yes,0.764
1594,11,Government - Hospital District or Authority,0.764
8014,10,Acute Care Hospitals,0.764
3667,10,Acute Care Hospitals,0.763
4562,6,AZ,0.763
3023,12,Yes,0.763
9498,10,Acute Care Hospitals,0.763
7552,10,Acute Care Hospitals,0.763
3160,11,Voluntary non-profit - Church,0.763
5616,12,Yes,0.763
5015,12,Yes,0.763
7004,10,Acute Care Hospitals,0.763
861,5,HAMILTON,0.762
1163,5,SCOTTSBORO,0.762
6407,11,Government - Local,0.762
36,12,Yes,0.762
1594,10,Acute Care Hospitals,0.762
5981,10,Acute Care Hospitals,0.762
1974,11,Proprietary,0.762
233,10,Acute Care Hospitals,0.762
7353,12,Yes,0.762
5438,10,Acute Care Hospitals,0.762
1227,6,AL,0.762
4960,6,AR,0.762
2104,10,Acute Care Hospitals,0.761
6876,5,SACRAMENTO,0.761
4659,17,1 patients,0.761
6601,5,LAKE VILLAGE,0.761
3936,5,MESA,0.761
8977,10,Acute Care Hospitals,0.761
5311,12,Yes,0.761
8784,6,CA,0.761
8403,10,Acute Care Hospitals,0.761
9440,5,NORWALK,0.761
7247,10,Acute Care Hospitals,0.761
5604,10,Acute Care Hospitals,0.761
8977,11,Government - Local,0.761
3824,10,Acute Care Hospitals,0.761
4624,11,Government - Hospital District or Authority,0.761
8806,12,Yes,0.76
7761,11,Government - Hospital District or Authority,0.76
1280,12,No,0.76
7175,13,Surgical Infection Prevention,0.76
1673,5,BIRMINGHAM,0.76
5712,12,Yes,0.76
8303,10,Acute Care Hospitals,0.76
979,5,ENTERPRISE,0.76
9164,12,Yes,0.76
911,10,Acute Care Hospitals,0.76
6919,12,No,0.76
3917,5,MESA,0.76
7230,12,Yes,0.76
5483,5,FORT SMITH,0.76
4100,6,AZ,0.759
3878,6,AZ,0.759
8893,11,Voluntary non-profit - Private,0.759
5483,10,Acute Care Hospitals,0.759
861,11,Voluntary non-profit - Private,0.759
3451,6,AZ,0.759
7052,5,OROVILLE,0.759
3294,6,AZ,0.759
5727,5,NEWPORT,0.759
8893,13,Surgical Infection Prevention,0.759
9574,12,Yes,0.759
303,11,Voluntary non-profit - Private,0.759
2868,12,Yes,0.759
8701,10,Acute Care Hospitals,0.759
1956,12,Yes,0.759
4770,9,9282894691,0.759
5359,5,RUSSELLVILLE,0.758
8462,11,Voluntary non-profit - Other,0.758
3481,17,0 patients,0.758
9232,9,9494997193,0.758
8219,10,Acute Care Hospitals,0.758
6774,12,Yes,0.758
5826,9,8708632000,0.758
5023,6,AR,0.758
3856,12,Yes,0.758
9056,17,0 patients,0.758
1956,10,Acute Care Hospitals,0.758
9378,10,Acute Care Hospitals,0.758
887,5,FAYETTE,0.758
837,11,Voluntary non-profit - Private,0.758
4778,10,Critical Access Hospitals,0.758
1280,10,Acute Care Hospitals,0.758
9247,13,Surgical Infection Prevention,0.757
7165,5,RED BLUFF,0.757
7998,11,Proprietary,0.757
8597,12,Yes,0.757
5673,4,1001 SCHNEIDER DRIVE,0.757
7165,6,CA,0.757
8662,12,Yes,0.757
8549,5,WOODLAND,0.757
4567,9,9284454860,0.757
61,10,Acute Care Hospitals,0.757
7243,5,OJAI,0.757
1049,11,Government - Federal,0.757
3936,11,Government - Hospital District or Authority,0.757
8856,12,Yes,0.757
6642,10,Critical Access Hospitals,0.757
5197,6,AR,0.757
9099,11,Voluntary non-profit - Private,0.757
2779,12,No,0.757
218,10,Acute Care Hospitals,0.757
8403,13,Surgical Infection Prevention,0.757
9185,5,LONG BEACH,0.757
8421,6,CA,0.757
8403,11,Proprietary,0.756
6202,6,AR,0.756
7857,11,Voluntary non-profit - Church,0.756
5313,11,Voluntary non-profit - Other,0.756
3711,11,Government - Federal,0.756
8068,5,SAN DIEGO,0.756
8610,5,NOVATO,0.756
8342,10,Acute Care Hospitals,0.756
2862,10,Critical Access Hospitals,0.756
8559,11,Government - Hospital District or Authority,0.756
9253,12,Yes,0.756
5617,9,8706733511,0.756
8191,6,CA,0.756
2409,10,Acute Care Hospitals,0.756
2204,16,100%,0.756
648,17,0 patients,0.756
3089,11,Proprietary,0.756
2411,10,Acute Care Hospitals,0.756
6212,6,AR,0.756
1721,8,AUTAUGA,0.756
5706,13,Surgical Infection Prevention,0.756
9356,10,Acute Care Hospitals,0.756
5308,12,Yes,0.756
8687,11,Voluntary non-profit - Other,0.756
530,5,MONTGOMERY,0.756
7021,16,100%,0.756
3146,12,Yes,0.756
2742,8,ANCHORAGE,0.756
9629,12,Yes,0.755
2788,13,Surgical Infection Prevention,0.755
7602,18,CA_AMI-8A,0.755
3674,9,9288558185,0.755
7241,10,Acute Care Hospitals,0.755
9347,16,100%,0.755
8822,10,Acute Care Hospitals,0.755
5521,13,Pneumonia,0.755
5021,17,1 patients,0.755
8890,11,Voluntary non-profit - Private,0.755
6832,8,AMADOR,0.755
3444,11,Proprietary,0.755
3582,12,Yes,0.755
133,12,Yes,0.755
6835,8,AMADOR,0.755
8735,11,Voluntary non-profit - Other,0.755
3667,9,9288558185,0.755
4866,11,Voluntary non-profit - Private,0.755
9547,11,Voluntary non-profit - Private,0.755
864,5,HAMILTON,0.755
6055,11,Proprietary,0.755
1558,11,Government - State,0.755
4562,5,PRESCOTT,0.755
4478,16,100%,0.755
2279,13,Heart Attack,0.755
398,11,Voluntary non-profit - Private,0.755
1434,5,JASPER,0.755
3689,9,9288558185,0.755
6512,12,Yes,0.755
7838,10,Acute Care Hospitals,0.755
4919,11,Voluntary non-profit - Private,0.755
7751,16,100%,0.755
1675,5,BIRMINGHAM,0.755
646,5,WEDOWEE,0.754
7998,8,ALAMEDA,0.754
6087,11,Voluntary non-profit - Private,0.754
1280,5,EUFAULA,0.754
1573,17,1 patients,0.754
3573,10,Acute Care Hospitals,0.754
3111,12,Yes,0.754
8894,5,SAN FRANCISCO,0.754
4135,17,1 patients,0.754
6905,11,Proprietary,0.754
6444,6,AR,0.754
8118,11,Voluntary non-profit - Private,0.754
7432,11,Proprietary,0.754
2413,10,Acute Care Hospitals,0.754
1300,12,No,0.754
7079,12,Yes,0.754
5053,10,Acute Care Hospitals,0.754
3283,6,AZ,0.754
1163,13,Heart Attack,0.754
8219,16,100%,0.754
3770,10,Acute Care Hospitals,0.754
3302,10,Acute Care Hospitals,0.754
12,10,Acute Care Hospitals,0.754
3711,9,9287298000,0.754
4017,13,Heart Attack,0.754
9937,13,Pneumonia,0.754
8686,5,PETALUMA,0.754
9195,12,Yes,0.754
6145,10,Critical Access Hospitals,0.754
7900,5,SAN BERNARDINO,0.754
2726,12,Yes,0.754
4129,11,Government - Local,0.754
6113,13,Surgical Infection Prevention,0.753
1573,10,Acute Care Hospitals,0.753
3236,12,Yes,0.753
5023,12,Yes,0.753
1601,5,FAIRHOPE,0.753
858,11,Voluntary non-profit - Private,0.753
1544,12,No,0.753
4743,6,AZ,0.753
2251,16,100%,0.753
7104,5,SAN JOSE,0.753
9578,10,Acute Care Hospitals,0.753
5152,11,Proprietary,0.753
3670,12,No,0.753
9421,6,CA,0.753
4981,6,AR,0.753
7602,5,OAKLAND,0.753
1885,12,Yes,0.753
9913,16,100%,0.753
150,17,0 patients,0.753
9356,12,Yes,0.753
4832,17,0 patients,0.753
9632,16,100%,0.753
8948,10,Acute Care Hospitals,0.753
5395,6,AR,0.753
1422,11,Voluntary non-profit - Private,0.753
8935,12,Yes,0.753
3580,12,Yes,0.753
9099,12,Yes,0.752
7434,6,CA,0.752
3442,12,No,0.752
147,17,1 patients,0.752
7004,12,Yes,0.752
7900,6,CA,0.752
6295,5,NASHVILLE,0.752
5219,11,Proprietary,0.752
7852,11,Voluntary non-profit - Church,0.752
8254,10,Acute Care Hospitals,0.752
9913,9,5592285338,0.752
8274,12,No,0.752
8356,11,Voluntary non-profit - Other,0.752
9461,5,CHULA VISTA,0.752
8499,5,SAN JOSE,0.752
3294,11,Government - Local,0.752
648,12,No,0.752
3451,11,Proprietary,0.752
5613,6,AR,0.752
4331,11,Proprietary,0.752
9185,6,CA,0.752
5196,10,Acute Care Hospitals,0.752
8274,5,LOS ANGELES,0.752
4659,5,DOUGLAS,0.752
8840,10,Acute Care Hospitals,0.752
6761,11,Voluntary non-profit - Other,0.752
6476,11,Voluntary non-profit - Other,0.752
6070,12,Yes,0.752
4960,12,Yes,0.752
5015,10,Acute Care Hospitals,0.752
5947,6,AR,0.752
7365,11,Government - Hospital District or Authority,0.752
2609,11,Voluntary non-profit - Private,0.751
3888,16,100%,0.751
5555,11,Government - Local,0.751
6697,16,100%,0.751
8713,10,Acute Care Hospitals,0.751
2973,12,Yes,0.751
172,12,Yes,0.751
9227,6,CA,0.751
823,4,1007 GOODYEAR AVENUE,0.751
5053,6,AR,0.751
8215,13,Heart Failure,0.751
3348,12,Yes,0.751
5123,10,Acute Care Hospitals,0.751
5933,5,LITTLE ROCK,0.751
8662,5,MARYSVILLE,0.751
837,12,Yes,0.751
5330,12,Yes,0.751
7858,10,Acute Care Hospitals,0.751
2862,17,0 patients,0.751
9887,12,No,0.751
3936,13,Surgical Infection Prevention,0.751
6316,10,Critical Access Hospitals,0.751
6088,16,100%,0.751
3283,17,0 patients,0.751
3238,16,100%,0.751
1699,5,BIRMINGHAM,0.751
8731,10,Acute Care Hospitals,0.751
8559,6,CA,0.751
4738,10,Critical Access Hospitals,0.751
6841,13,Surgical Infection Prevention,0.751
7863,11,Voluntary non-profit - Church,0.751
8296,11,Government - State,0.751
4965,11,Voluntary non-profit - Church,0.751
4138,11,Government - Local,0.751
8378,11,Voluntary non-profit - Other,0.751
2989,11,Voluntary non-profit - Other,0.751
977,10,Acute Care Hospitals,0.751
3839,10,Acute Care Hospitals,0.751
4478,13,Heart Attack,0.751
436,10,Acute Care Hospitals,0.751
4222,13,Heart Attack,0.751
3901,6,AZ,0.751
9072,6,CA,0.751
2868,10,Critical Access Hospitals,0.751
8871,11,Voluntary non-profit - Other,0.75
8830,10,Acute Care Hospitals,0.75
430,12,No,0.75
1104,12,Yes,0.75
7615,12,Yes,0.75
8087,5,VALLEJO,0.75
9050,10,Acute Care Hospitals,0.75
1573,5,BREWTON,0.75
3625,17,10 patients,0.75
9421,5,ALAMEDA,0.75
3238,12,Yes,0.75
9386,10,Acute Care Hospitals,0.75
7672,16,100%,0.75
5414,12,Yes,0.75
4965,6,AR,0.75
6345,6,AR,0.75
5894,10,Acute Care - VA Medical Center,0.75
9247,12,Yes,0.75
3780,5,SAN CARLOS,0.75
2765,10,Acute Care Hospitals,0.75
2330,12,Yes,0.75
5248,10,Acute Care Hospitals,0.75
3784,11,Government - Federal,0.75
2591,12,No,0.75
7230,6,CA,0.75
6036,13,Surgical Infection Prevention,0.75
7548,11,Voluntary non-profit - Other,0.75
2008,11,Voluntary non-profit - Private,0.75
926,5,GADSDEN,0.75
9610,11,Voluntary non-profit - Other,0.75
3355,6,AZ,0.75
3471,6,AZ,0.75
8718,12,Yes,0.75
327,11,Proprietary,0.75
400,11,Voluntary non-profit - Private,0.75
939,10,Acute Care Hospitals,0.75
4743,9,9287554500,0.75
3186,10,Acute Care Hospitals,0.75
7529,6,CA,0.75
638,12,Yes,0.75
9600,5,POMONA,0.75
3428,6,AZ,0.75
5717,11,Proprietary,0.75
8894,11,Voluntary non-profit - Private,0.75
9050,12,Yes,0.75
4925,17,0 patients,0.75
5196,6,AR,0.75
8270,5,LOS ANGELES,0.75
7175,12,Yes,0.749
3191,16,100%,0.749
3644,5,SAFFORD,0.749
8741,12,Yes,0.749
5160,12,Yes,0.749
1271,8,BARBOUR,0.749
4368,11,Voluntary non-profit - Private,0.749
5706,5,HOT SPRINGS,0.749
2413,12,Yes,0.749
6485,10,Critical Access Hospitals,0.749
2732,10,Acute Care Hospitals,0.749
8797,13,Surgical Infection Prevention,0.749
3770,5,SAN CARLOS,0.749
5658,10,Acute Care Hospitals,0.749
9399,6,CA,0.749
