ind,attr,val
11,2,10019
11,3,HELEN KELLER MEMORIAL HOSPITAL
11,4,1300 SOUTH MONTGOMERY AVENUE
11,5,SHEFFIELD
11,6,AL
11,7,35660
11,8,JEFFERSON
11,9,2563864556
11,10,Acute Care Hospitals
11,11,Government - Hospital District or Authority
11,12,Yes
11,13,Heart Attack
11,14,AMI-3
11,15,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
11,16,75%
11,17,4 patients
11,18,AL_AMI-3
12,2,10019
12,3,HELEN KELLER MEMORIAL HOSPITAL
12,4,1300 SOUTH MONTGOMERY AVENUE
12,5,SHEFFIELD
12,6,AL
12,7,35660
12,8,JEFFERSON
12,9,2563864556
12,10,Acute Care Hospitals
12,11,Government - Hospital District or Authority
12,12,Yes
12,13,Heart Attack
12,14,AMI-4
12,15,Heart Attack Patients Given Smoking Cessation Advice/Counseling
12,16,100%
12,17,4 patients
12,18,AL_AMI-4
25,2,10001
25,3,SOUTHEAST ALABAMA MEDICAL CENTER
25,4,1108 ROSS CLARK CIRCLE
25,5,DOTHAN
25,6,AL
25,7,36302
25,8,HOUSTON
25,9,3347938701
25,10,Acute Care Hospitals
25,11,Government - Hospital District or Authority
25,12,Yes
25,13,Heart Attack
25,14,AMI-7A
25,15,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
25,16,
25,17,0 patients
25,18,AL_AMI-7A
31,2,10001
31,3,SOUTHEAST ALABAMA MEDICAL CENTER
31,4,1108 ROSS CLARK CIRCLE
31,5,DOTHAN
31,6,AL
31,7,36302
31,8,HOUSTON
31,9,3347938701
31,10,Acute Care Hospitals
31,11,Government - Hospital District or Authority
31,12,Yes
31,13,Pneumonia
31,14,PN-2
31,15,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
31,16,93%
31,17,191 patients
31,18,AL_PN-2
36,2,10001
36,3,SOUTHEAST ALABAMA MEDICAL CENTER
36,4,1108 ROSS CLARK CIRCLE
36,5,DOTHAN
36,6,AL
36,7,36302
36,8,HOUSTON
36,9,3347938701
36,10,Acute Care Hospitals
36,11,Government - Hospital District or Authority
36,12,Yes
36,13,Pneumonia
36,14,PN-7
36,15,Pneumonia Patients Assessed and Given Influenza Vaccination
36,16,84%
36,17,160 patients
36,18,AL_PN-7
40,2,10001
40,3,SOUTHEAST ALABAMA MEDICAL CENTER
40,4,1108 ROSS CLARK CIRCLE
